City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Saint George,US,75.0,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
8,Hilo,US,82.99,few clouds,19.73,-155.09,Hilo Hawaiian Hotel
11,Tucuman,AR,78.8,clear sky,-26.82,-65.22,Dallas Hotel Tucuman
14,Angoche,MZ,77.74,clear sky,-16.23,39.91,Guest House HESADA
15,Vaini,TO,71.6,broken clouds,-21.2,-175.2,Keleti Beach Resort
17,Dakar,SN,84.2,clear sky,14.69,-17.44,Novotel Dakar
18,Arraial Do Cabo,BR,75.2,broken clouds,-22.97,-42.03,Pousada Porto Praia
21,Aguililla,MX,77.16,light rain,18.73,-102.73,
24,Port-Gentil,GA,80.6,scattered clouds,-0.72,8.78,Fengshui Residence
27,Rikitea,PF,75.85,clear sky,-23.12,-134.97,Pension Maro'i
29,Kapaa,US,80.01,few clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
31,Agadir,MA,77.0,clear sky,30.42,-9.6,Iberostar Founty Beach
33,Keti Bandar,PK,79.2,clear sky,24.14,67.45,Haji laloo memon house
35,Port Blair,IN,80.44,moderate rain,11.67,92.75,Fortune Resort Bay Island
40,Marsh Harbour,BS,82.6,clear sky,26.54,-77.06,Abaco Beach Resort
41,Meulaboh,ID,76.51,light rain,4.14,96.13,Kost Pria
43,San Patricio,US,73.0,few clouds,28.02,-97.52,"Motel 6 Sinton, TX"
45,Bathsheba,BB,77.0,overcast clouds,13.22,-59.52,Atlantis Hotel
46,Coahuayana,MX,82.4,broken clouds,18.73,-103.68,Hotel Los Arcos
52,Hithadhoo,MV,82.94,broken clouds,-0.6,73.08,Scoop Guest House
59,Gainesville,US,73.0,clear sky,29.65,-82.32,Wyndham Garden Gainesville
60,Betioky,MG,75.52,clear sky,-23.72,44.38,Bungalows Acacias Hotel
64,Carnarvon,AU,71.6,overcast clouds,-24.87,113.63,Hospitality Carnarvon
69,Mayumba,GA,76.48,light rain,-3.43,10.66,LIKWALE LODGE
74,Sinnamary,GF,84.65,broken clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
75,Butaritari,KI,81.28,moderate rain,3.07,172.79,Isles Sunset Lodge
76,Lamu,KE,77.94,light rain,-2.27,40.9,Lamu House
77,Bandarbeyla,SO,78.49,clear sky,9.49,50.81,REER XOOSHLE GROUP
78,Cabo San Lucas,MX,87.8,scattered clouds,22.89,-109.91,Hotel Tesoro Los Cabos
79,Bonthe,SL,80.02,broken clouds,7.53,-12.51,Bonthe Holiday Village
