City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Geraldton,AU,-28.77,114.6,64.4,93,0,5.82,clear sky
1,Saint George,US,37.1,-113.58,75.0,20,1,1.77,clear sky
2,Punta Arenas,CL,-53.15,-70.92,55.4,62,75,28.86,broken clouds
3,Hamilton,US,39.18,-84.53,50.0,49,75,6.93,broken clouds
4,Linqiong,CN,30.42,103.46,62.01,93,40,4.47,scattered clouds
5,Takhtamygda,RU,54.1,123.57,17.82,95,100,4.59,overcast clouds
6,Busselton,AU,-33.65,115.33,60.01,61,0,4.07,clear sky
7,Barrow,US,71.29,-156.79,21.2,85,90,13.87,light snow
8,Hilo,US,19.73,-155.09,82.99,74,20,4.7,few clouds
9,Port Alfred,ZA,-33.59,26.89,58.98,63,66,1.77,broken clouds
10,Novikovo,RU,51.15,37.89,48.25,95,100,5.91,light rain
11,Tucuman,AR,-26.82,-65.22,78.8,21,0,8.05,clear sky
12,Dikson,RU,73.51,80.55,13.06,96,100,28.81,light snow
13,Bredasdorp,ZA,-34.53,20.04,48.2,70,0,3.36,clear sky
14,Angoche,MZ,-16.23,39.91,77.74,75,1,6.89,clear sky
15,Vaini,TO,-21.2,-175.2,71.6,83,75,11.41,broken clouds
16,Harnai,PK,30.1,67.94,59.83,29,0,4.18,clear sky
17,Dakar,SN,14.69,-17.44,84.2,66,0,16.11,clear sky
18,Arraial Do Cabo,BR,-22.97,-42.03,75.2,88,75,8.05,broken clouds
19,Saint Anthony,US,45.02,-93.22,46.0,39,1,9.17,clear sky
20,Hermanus,ZA,-34.42,19.23,48.99,85,0,11.41,clear sky
21,Aguililla,MX,18.73,-102.73,77.16,71,83,2.48,light rain
22,Ushuaia,AR,-54.8,-68.3,48.2,70,75,23.04,broken clouds
23,Tapes,BR,-30.67,-51.4,65.08,68,41,12.17,scattered clouds
24,Port-Gentil,GA,-0.72,8.78,80.6,83,40,4.7,scattered clouds
25,Preobrazheniye,RU,42.9,133.91,43.0,69,0,6.29,clear sky
26,Ayan,RU,56.45,138.17,27.99,87,99,4.21,overcast clouds
27,Rikitea,PF,-23.12,-134.97,75.85,68,0,7.85,clear sky
28,Hobart,AU,-42.88,147.33,46.99,93,20,4.7,few clouds
29,Kapaa,US,22.08,-159.32,80.01,73,20,5.82,few clouds
30,Kruisfontein,ZA,-34.0,24.73,51.01,87,0,1.99,clear sky
31,Agadir,MA,30.42,-9.6,77.0,27,0,6.93,clear sky
32,New Norfolk,AU,-42.78,147.06,46.0,77,1,2.62,clear sky
33,Keti Bandar,PK,24.14,67.45,79.2,61,0,8.93,clear sky
34,Castro,BR,-24.79,-50.01,55.42,93,100,11.1,overcast clouds
35,Port Blair,IN,11.67,92.75,80.44,83,100,12.1,moderate rain
36,East London,ZA,-33.02,27.91,62.31,67,100,1.28,overcast clouds
37,Kodiak,US,57.79,-152.41,33.8,69,90,10.29,light snow
38,Qaanaaq,GL,77.48,-69.36,14.02,83,99,5.79,overcast clouds
39,Mar Del Plata,AR,-38.0,-57.56,60.8,63,0,9.17,clear sky
40,Marsh Harbour,BS,26.54,-77.06,82.6,74,1,9.44,clear sky
41,Meulaboh,ID,4.14,96.13,76.51,87,99,4.59,light rain
42,Kaspiyskiy,RU,45.39,47.37,53.44,87,27,8.3,scattered clouds
43,San Patricio,US,28.02,-97.52,73.0,40,20,9.17,few clouds
44,Alice Springs,AU,-23.7,133.88,53.6,32,3,1.12,clear sky
45,Bathsheba,BB,13.22,-59.52,77.0,88,90,26.4,overcast clouds
46,Coahuayana,MX,18.73,-103.68,82.4,65,75,5.3,broken clouds
47,Nanortalik,GL,60.14,-45.24,28.65,92,98,6.02,overcast clouds
48,Krasnoselkup,RU,65.7,82.47,9.18,95,95,12.55,overcast clouds
49,Jamestown,US,42.1,-79.24,37.0,95,90,11.41,mist
50,Bundibugyo,UG,0.74,30.04,65.62,85,94,1.97,overcast clouds
51,Ponta Do Sol,PT,32.67,-17.1,69.8,77,20,16.11,few clouds
52,Hithadhoo,MV,-0.6,73.08,82.94,76,83,9.98,broken clouds
53,Mataura,NZ,-46.19,168.86,55.0,98,100,8.01,moderate rain
54,Chapais,CA,49.78,-74.85,17.6,78,75,2.24,broken clouds
55,Tasiilaq,GL,65.61,-37.64,32.0,98,75,4.7,light shower snow
56,Lata,PT,40.16,-8.33,63.0,82,0,1.12,clear sky
57,Codrington,AU,-38.27,141.97,51.1,92,5,9.33,clear sky
58,Cape Town,ZA,-33.93,18.42,59.0,67,0,19.46,clear sky
59,Gainesville,US,29.65,-82.32,73.0,49,1,4.7,clear sky
60,Betioky,MG,-23.72,44.38,75.52,43,0,12.82,clear sky
61,Flinders,AU,-34.58,150.86,64.99,93,100,4.0,light rain
62,Te Horo,NZ,-40.81,175.12,63.0,92,100,5.01,light rain
63,Sadiqabad,PK,28.31,70.13,69.42,24,0,3.31,clear sky
64,Carnarvon,AU,-24.87,113.63,71.6,83,90,5.82,overcast clouds
65,Souillac,MU,-20.52,57.52,68.0,64,40,11.41,scattered clouds
66,Songjianghe,CN,42.19,127.48,31.73,84,95,5.88,overcast clouds
67,Bethel,US,41.37,-73.41,37.4,86,90,10.29,overcast clouds
68,Jurm,AF,36.86,70.83,39.04,49,0,3.6,clear sky
69,Mayumba,GA,-3.43,10.66,76.48,89,100,4.0,light rain
70,Mezen,RU,65.85,44.24,33.87,91,96,9.42,overcast clouds
71,Yabelo,ET,4.88,38.08,59.52,94,100,6.31,overcast clouds
72,Varberg,SE,57.11,12.25,46.99,94,100,11.01,light rain
73,Klaksvik,FO,62.23,-6.59,46.4,81,1,20.8,clear sky
74,Sinnamary,GF,5.38,-52.95,84.65,73,51,13.73,broken clouds
75,Butaritari,KI,3.07,172.79,81.28,80,83,19.19,moderate rain
76,Lamu,KE,-2.27,40.9,77.94,82,0,10.69,light rain
77,Bandarbeyla,SO,9.49,50.81,78.49,83,0,13.47,clear sky
78,Cabo San Lucas,MX,22.89,-109.91,87.8,61,40,9.17,scattered clouds
79,Bonthe,SL,7.53,-12.51,80.02,85,68,7.96,broken clouds
80,Kahului,US,20.89,-156.47,78.8,74,40,14.99,scattered clouds
81,Komsomolskiy,UZ,40.43,71.72,41.0,44,0,4.7,clear sky
82,Camacha,PT,33.08,-16.33,69.8,73,40,6.93,scattered clouds
83,Tiksi,RU,71.69,128.87,9.41,95,100,5.26,overcast clouds
84,Saint-Georges,GD,12.06,-61.75,87.8,74,40,23.04,scattered clouds
85,Grindavik,IS,63.84,-22.43,41.0,80,75,16.11,broken clouds
86,Moen,NO,69.13,18.61,21.99,92,0,14.99,clear sky
87,Leningradskiy,RU,69.38,178.42,18.01,93,44,20.94,scattered clouds
88,Norman Wells,CA,65.28,-126.83,12.2,92,75,2.24,broken clouds
89,Huanren,CN,41.26,125.37,38.35,72,100,4.47,overcast clouds
90,Isangel,VU,-19.55,169.27,76.91,76,50,13.98,light rain
91,Puerto Ayora,EC,-0.74,-90.35,82.4,61,20,6.93,few clouds
92,Kieta,PG,-6.22,155.63,78.3,81,94,4.43,overcast clouds
93,Ngara,TZ,-2.51,30.66,58.46,100,92,2.19,overcast clouds
94,Albany,US,42.6,-73.97,36.0,92,74,6.04,broken clouds
95,Hualmay,PE,-11.1,-77.61,67.5,71,98,8.01,overcast clouds
96,Mahebourg,MU,-20.41,57.7,69.8,52,75,20.8,broken clouds
97,Sibiti,CG,-3.68,13.35,70.39,97,100,1.07,overcast clouds
98,Rocha,UY,-34.48,-54.33,56.46,65,100,8.05,overcast clouds
99,Dunedin,NZ,-45.87,170.5,61.0,67,100,1.99,light rain
100,Natal,BR,-5.79,-35.21,82.4,69,75,14.99,broken clouds
101,Slantsy,RU,59.12,28.09,45.54,95,80,4.16,broken clouds
102,Ribeira Grande,PT,38.52,-28.7,69.8,94,75,20.8,broken clouds
103,Bilibino,RU,68.05,166.44,4.51,88,100,1.74,overcast clouds
104,Samoded,RU,63.61,40.51,36.43,84,98,6.55,light rain
105,Milkovo,RU,54.72,158.62,29.66,97,95,2.44,overcast clouds
106,Saldanha,ZA,-33.01,17.94,57.2,67,0,14.99,clear sky
107,Saint-Philippe,RE,-21.36,55.77,68.0,60,29,10.29,light rain
108,Kalmunai,LK,7.42,81.82,79.79,81,94,4.92,heavy intensity rain
109,Japura,ID,-0.32,102.35,74.03,92,100,1.16,overcast clouds
110,Bambous Virieux,MU,-20.34,57.76,68.0,64,40,11.41,scattered clouds
111,Tazovskiy,RU,67.47,78.7,13.28,96,96,14.29,overcast clouds
112,Aden,YE,12.78,45.04,82.54,79,0,15.28,clear sky
113,Jalingo,NG,8.88,11.37,80.4,41,74,3.24,broken clouds
114,Saskylakh,RU,71.92,114.08,-1.98,84,0,6.11,clear sky
115,Tuatapere,NZ,-46.13,167.68,54.0,98,100,11.01,light rain
116,Varkkallai,IN,8.73,76.71,82.4,78,40,3.06,mist
117,Namatanai,PG,-3.67,152.43,80.1,75,25,2.86,scattered clouds
118,Mandera,KE,3.94,41.87,83.34,60,100,7.49,overcast clouds
119,Severo-Kurilsk,RU,50.68,156.12,42.26,90,100,31.09,moderate rain
120,Kochevo,RU,59.6,54.31,34.18,90,100,8.23,overcast clouds
121,Bonga,ET,7.28,36.23,59.61,90,100,1.39,overcast clouds
122,Chuy,UY,-33.7,-53.46,59.23,73,43,10.47,scattered clouds
123,Markova,UA,48.68,24.41,39.92,80,80,4.52,broken clouds
124,Sawakin,SD,19.11,37.33,84.9,63,0,4.34,clear sky
125,Ola,RU,59.58,151.28,30.52,93,100,11.59,overcast clouds
126,Vanavara,RU,60.34,102.28,7.65,95,90,2.3,overcast clouds
127,Bubaque,GW,11.28,-15.83,84.9,69,85,9.31,overcast clouds
128,Casablanca,MA,33.59,-7.62,68.0,88,90,3.36,mist
129,Midland,US,32.0,-102.08,68.0,25,1,6.93,clear sky
