City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Busselton,AU,2020-10-27 15:46:24,-33.65,115.33,59.0,71,52,9.35
1,Bluff,NZ,2020-10-27 15:46:34,-46.6,168.33,39.99,90,4,1.01
2,Pitimbu,BR,2020-10-27 15:46:34,-7.47,-34.81,86.0,58,40,11.41
3,Punta Arenas,CL,2020-10-27 15:46:34,-53.15,-70.92,46.0,49,92,18.99
4,Bredasdorp,ZA,2020-10-27 15:46:35,-34.53,20.04,71.6,56,88,21.92
5,The Valley,AI,2020-10-27 15:46:35,18.22,-63.06,86.0,83,75,17.22
6,Cabo San Lucas,MX,2020-10-27 15:46:36,22.89,-109.91,79.0,64,5,6.44
7,Mangan,IN,2020-10-27 15:46:37,27.52,88.53,65.34,34,0,5.06
8,Fortuna,US,2020-10-27 15:46:37,40.6,-124.16,44.6,56,1,10.29
9,Hobart,AU,2020-10-27 15:44:27,-42.88,147.33,48.2,93,90,4.7
10,Hilo,US,2020-10-27 15:44:34,19.73,-155.09,73.4,88,75,5.82
11,Saint-Philippe,RE,2020-10-27 15:46:38,-21.36,55.77,77.0,69,75,4.7
12,Jamestown,US,2020-10-27 15:46:15,42.1,-79.24,46.0,81,90,5.82
13,Khatanga,RU,2020-10-27 15:46:28,71.97,102.5,3.06,94,99,12.91
14,Alice Springs,AU,2020-10-27 15:45:44,-23.7,133.88,64.4,23,0,6.93
15,Khani,GE,2020-10-27 15:46:39,41.96,42.96,68.0,52,0,4.7
16,Victoria,HK,2020-10-27 15:45:52,22.29,114.16,77.0,76,81,22.21
17,Bonthe,SL,2020-10-27 15:46:39,7.53,-12.51,85.32,69,83,8.14
18,Puerto Ayora,EC,2020-10-27 15:46:39,-0.74,-90.35,73.4,78,75,12.75
19,Kununurra,AU,2020-10-27 15:46:11,-15.77,128.73,82.4,69,76,5.82
20,Ullapool,GB,2020-10-27 15:46:40,57.9,-5.16,46.0,63,100,10.0
21,Rikitea,PF,2020-10-27 15:43:44,-23.12,-134.97,74.98,85,77,17.56
22,Souillac,MU,2020-10-27 15:46:40,-20.52,57.52,75.2,73,75,5.82
23,Kapaa,US,2020-10-27 15:46:41,22.08,-159.32,77.88,69,100,3.74
24,East London,ZA,2020-10-27 15:46:41,-33.02,27.91,73.4,83,20,11.41
25,Esperance,AU,2020-10-27 15:43:59,-33.87,121.9,55.4,100,0,3.36
26,Barcelos,PT,2020-10-27 15:46:41,41.54,-8.62,59.0,100,90,19.46
27,Curuca,BR,2020-10-27 15:46:42,-0.73,-47.85,91.63,48,1,11.27
28,Brae,GB,2020-10-27 15:46:42,60.4,-1.35,50.0,87,75,10.29
29,Mataura,NZ,2020-10-27 15:46:43,-46.19,168.86,39.99,90,15,1.01
30,Tobol,KZ,2020-10-27 15:46:43,52.68,62.58,26.31,96,99,20.6
31,Anloga,GH,2020-10-27 15:44:04,5.79,0.9,86.0,74,40,11.41
32,Zharkent,KZ,2020-10-27 15:46:43,44.16,80.0,55.35,36,25,4.56
33,Ca Mau,VN,2020-10-27 15:46:44,9.18,105.15,77.79,89,100,7.09
34,Castro,BR,2020-10-27 15:46:44,-24.79,-50.01,77.04,43,26,7.94
35,Nova Olimpia,BR,2020-10-27 15:46:44,-14.8,-57.29,99.48,35,72,4.32
36,Albany,US,2020-10-27 15:42:03,42.6,-73.97,52.0,70,52,5.61
37,Makat,KZ,2020-10-27 15:46:45,47.65,53.35,39.52,65,0,10.54
38,Comodoro Rivadavia,AR,2020-10-27 15:46:45,-45.87,-67.5,59.0,26,1,32.21
39,Mahebourg,MU,2020-10-27 15:46:45,-20.41,57.7,75.2,73,75,5.82
40,Beringovskiy,RU,2020-10-27 15:46:46,63.05,179.32,28.4,92,78,10.56
41,Vaini,TO,2020-10-27 15:46:46,-21.2,-175.2,69.8,94,20,6.93
42,Saquena,PE,2020-10-27 15:46:46,-4.67,-73.52,95.59,44,32,3.94
43,Saskylakh,RU,2020-10-27 15:46:46,71.92,114.08,1.72,92,98,6.87
44,Kachug,RU,2020-10-27 15:46:47,53.96,105.88,26.13,92,88,2.64
45,Chuy,UY,2020-10-27 15:44:25,-33.7,-53.46,65.17,74,100,18.05
46,Tuktoyaktuk,CA,2020-10-27 15:46:47,69.45,-133.04,6.8,92,90,9.17
47,Yellowknife,CA,2020-10-27 15:43:12,62.46,-114.35,19.4,73,90,13.87
48,Belgrade,RS,2020-10-27 15:43:34,44.8,20.47,66.2,59,0,4.7
49,Vanavara,RU,2020-10-27 15:46:48,60.34,102.28,20.1,95,64,7.31
50,Ribeira Grande,PT,2020-10-27 15:46:48,38.52,-28.7,68.0,56,40,6.93
51,Mar Del Plata,AR,2020-10-27 15:46:49,-38.0,-57.56,68.0,42,0,10.29
52,Berlevag,NO,2020-10-27 15:46:49,70.86,29.09,33.8,74,0,16.11
53,Sao Joao Da Barra,BR,2020-10-27 15:46:49,-21.64,-41.05,82.4,58,20,6.93
54,Ushuaia,AR,2020-10-27 15:45:28,-54.8,-68.3,42.8,52,40,24.16
55,Pangnirtung,CA,2020-10-27 15:46:50,66.15,-65.71,14.0,56,20,4.7
56,Bengkulu,ID,2020-10-27 15:46:50,-3.8,102.27,76.33,86,94,3.71
57,Lebu,CL,2020-10-27 15:46:50,-37.62,-73.65,53.58,63,18,9.19
58,Pho Chai,TH,2020-10-27 15:46:50,16.33,103.77,71.8,80,100,5.41
59,Purwokerto,ID,2020-10-27 15:46:51,-7.42,109.23,63.0,87,100,0.56
60,Bend,US,2020-10-27 15:43:26,44.06,-121.32,30.2,74,1,11.41
61,Rabaul,PG,2020-10-27 15:46:51,-4.2,152.17,80.37,78,69,5.68
62,Pulandian,CN,2020-10-27 15:46:51,39.4,121.97,48.2,61,0,2.24
63,Itarema,BR,2020-10-27 15:46:52,-2.92,-39.92,87.78,53,42,14.38
64,Breves,BR,2020-10-27 15:44:58,-1.68,-50.48,95.67,42,50,5.39
